"username","rating","helpful","total","date","title","review"
"MR_Heraclius","6","37","40","24 February 2020"," Fantastic Four
","Competent entertainment, and a fun feuding dynamic between youngish heroes not quite ready for the limelight, but it's basically just the Marvel Origin Story Template applied once more. Jessica Alba can't act, but Julian McMahon as Dr. Doom is one of the better villain performances in this stable."
"StevePulaski","7","34","38","13 August 2015"," Captures a time when superhero films were more joyful
","Fantastic Four is one of the last superhero films, that I can recall, that wasn't insufferably bleak or incredibly serious to a point where any shred of humor was seen as obtuse to the film's narrative. Yes, Christopher Nolan's Batman trilogy is an indisputable breakthrough in superhero films, but it also made the seriousness of superhero films standard, something that would follow into the late 2000's and early 2010's as Marvel built up The Avengers. Fantastic Four reminds of the quirkiness superhero films were once predicated upon, and while it may get a bit too corny at times, and its focus can never really settle, it's also a very commercial film that satisfies on some level of entertainment when it gives every card in its deck a fair time to shine.<br/><br/>We open by looking at a physicist named Dr. Reed Richards (Ioan Gruffudd), who is convinced evolution was triggered millions of years ago by stray elements of cosmic energy in space, some of which will pass near Earth very soon. His pal, astronaut Ben Grimm (Michael Chiklis), works by his side on this potentially revolutionary discovery by helping him convince their old classmate Dr. Victor Von Doom (Julian McMahon), the CEO of Von Doom Industries, to allow both of them access to his private space station to further experiment with the effects of these cosmic energy particles. While Doom agrees, he winds up walking away with most of the profits that this experiment will bring, affirming Reed's desperation to make his project work.<br/><br/>Still, he persists on and brings his close friends Susan Storm (Jessica Alba) and her brother Johnny (Chris Evans) along for the ride. However, when a trip to outer space goes awry, exposure with the cosmic energy results in the four receiving deformities and enhanced human abilities that have never before been seen: Reed possesses the ability to stretch every limb of his body, Susan has the ability to disappear and reappear at her leisure, Johnny can have his body engulfed in flame simply by reciting the phrase ""Flame on!,"" and Ben turns into a hideous, orange rock monster.<br/><br/>Following the four's mutations, writers Michael France and Mark Frost focus a great deal of their time on the agony that these mutations bring, particularly The Thing, who experiences his wife leaving him shortly after revealing his deformity. While this agony is a solid angle (one I'd argue necessary in most superhero films), too much of the time is spent profiling The Thing and not enough on the remaining characters of the film. Reed and Ben, who are ultimately the film's main focus, wind up monopolizing too much of the picture, and any time we see Johnny is when he's right in the middle of making a smug comment or being his typical, womanizing self.<br/><br/>The action in Fantastic Four has a colorful commercial look to it, brilliantly bold and very vibrant in a way that makes many of the scenes pop with life. It manages to achieve a comic book aesthetic without resorting to picture-in-picture editing. One particularly involving scene takes place on a suspension bridge, where The Thing is seen pummeling everything in his sight and the remaining three members of the team must resort to either relaxing him or protecting drivers and innocent bystanders.<br/><br/>The goofiness in Fantastic Four, however, in an age of dark superhero films that come with slick aesthetics and brooding characters, is a delightful change of pace. Yes, there is a point when one wishes director Tim Story, France, and Frost would command a tighter grip on the seriousness of the writing, but the pulpy fun of Fantastic Four, in addition to the effects and the neatly choreographed action, keep it a moving, satisfying spectacle that is more than just colors flying around on screen, trying to find their place.<br/><br/>Starring: Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, and Julian McMahon. Directed by: Tim Story."
"jimbo-53-186511","7","17","18","16 August 2015"," ""A few days in space, what could possibly go wrong?"" (minor spoilers)
","Following a failed experiment in space, a group of astronauts gain super powers following exposure to radioactive energy. This exposure gives the astronauts different super powers and doctor Reed Richards (Ioan Gruffudd) is attempting to find a way to reverse the effects of the radiation on his team. However, Doctor Von Doom (who has also been exposed to the radiation) has his own agenda and is intent on using his super powers to try to take down the Fantastic Four.<br/><br/>Given its rather modest 5.7 average user rating I wasn't expecting much here and was actually fearing the worst. However, whilst watching this film I was surprised by how enjoyable I actually found it. The story has quite a lot of depth to it and most of the focus is on how the team cope with the way that the radiation has caused life-changing alterations to their DNA. Johnny Storm (Chris Evans) relishes his new found gift and does everything he can to make sure he's in the limelight - this makes sense as he's painted as a rather arrogant individual right from the start. Evans puts in a good performance and despite the arrogance of his character he does still have some likability about him. On the other end of the spectrum, we've got Ben Grimm (Michael Chilkis) whose DNA has been permanently altered by the radiation due to the fact that he received the most exposure to it. There is a very tender scene with his character at the start of the film where he goes back to see his wife and she can't handle what has happened to him and basically has nothing further to do with him (it seems bizarre that she doesn't even ask what has happened to him and doesn't seem interested in standing by him or helping him out - what a b*tch). Chilkis is also excellent here and gives a nicely balance performance with a character that is ugly and gruff on the outside, but has a real heart of gold on the inside. Alba and Gruffudd make up the other two characters in The Fantastic Four (Sue Storm and Reed Richards respectively) and sadly their characters are not quite as interesting as Ben or Johnny and their performances for me weren't quite as strong. Despite this though, the film provides many funny moments (mostly between Ben and Johnny) and the wonderful camaderie and rather interesting story and exploration of their super powers made this a winner in my book.<br/><br/>The only weak link with this film lay with Von Doom (Julian McMahon) as the villain of the piece and his motivations; he seems to lose it and go berserk because he's jealous that something is going on between Sue and Reed. OK, that's fine, but why then decide to try and kill Ben and Johnny when his issue is with Richards and Storm. Despite a good turn from McMahon, I never really took to him as a villain as I felt that jealousy alone was a rather thin and flimsy reason to justify his barbaric behaviour.<br/><br/>Taking everything into account this is a good film. It's fun, there are some interesting characters here, the exploration of their super powers are interesting and of course the special effects are incredible. It's definitely worth a look."
"caseynicholson","8","42","49","12 August 2015"," I Don't Get the Hate for this Movie
","I recently watched the 2005 version of ""The Fantastic Four"" in preparation for the reboot that is in theaters now. This movie and its sequel, ""Rise of the Silver Surfer"" are 20th Century Fox productions. The Fantastic Four and X-Men franchises were both leased out to Fox prior to Marvel getting its own film production studios, and like other Marvel properties from before the MCU, this film is often bashed by comic book fans.<br/><br/>I personally don't see what's not to like here. Indeed, I think that this film does a great job portraying the FF's origin story. Sure, The Thing looks a bit hokey in what is clearly a rubberized suit of some sort, and I think they surely could have found an actor that looked more like Reed Richards from the comics than Ioan Gruffudd (that's quite the name, by the way!). But all in all, this is a.....fantastic....film. lol<br/><br/>I give it 8/10 stars. Jessica Alba does great as Sue Storm, and Julian McMahon is a superb Dr. Doom. The plot and the acting are well done, and the pace of the storytelling is good as well. To me, there's much more to like in this movie than to dislike. <br/><br/>Language note, though: There is one ""GD"" in this movie, which I wasn't expecting (it's when Ben Grimm is in the hospital bed after returning from space). I guess it just goes to show that Marvel movies were not always kid-friendly even before the recent trend in the MCU line. So heads up for that."
"randyfromscream","8","13","14","5 August 2017"," Way better than Fant4stic (2015)
","This movie is very enjoyable like it don't need a dark tone and Dr.Doom looks better. I'd wish I watch the 90s one even though it didn't age well but still I want to. At least the characters are likable then Fant4stic because the characters in the movie are lifeless while in this film there not boring. I know the film is not the best but I have a good time with it"
"gdinelli","7","14","16","9 July 2015"," A pretty good film
","As a reader of the comics, I was really excited to finally see a movie about my favourite characters. I've learned that a FF film was in ""development hell"" for some decades, so when it finally came out, obviously I rushed to the theater. And, I was not disappointed at all. Of course it's not as good as X-Men 2 or Spider-Man (the original, with Tobey Maguire), but it's good for what it aims to be: a sci-fi/action movie about comic book characters. You have to understand that the Fantastic Four are not as popular as other heroes, like Iron Man i.e., besides, their stories always covered the most strange, bizarre, far out things imaginable. And, because they are a family, there are many corny moments in the movie, but the comics too have those moments, then you just have to ""let it go"", to really enjoy the story. Overall, it's a very decent movie about very decent people. Relax, and enjoy the ride!"
"christian123","4","68","105","6 July 2006"," So-So Superhero Film
","During a failed experiment in space, Reed Richards (Ioan Gruffudd), Sue and Johnny Storm (Jessica Alba and Chris Evans), Ben Grimm (Michael Chiklis) and Dr. Victor Von Doom are bombarded by cosmic rays, changing their molecular systems and giving them superpowers. Four of them become the superhero team, the Fantastic Four, while Doom becomes their new enemy. <br/><br/>The Fantastic Four is far from fantastic but it does make for decent entertainment. The movie is very light-hearted and it isn't complex at all. This is good news and bad news. The good part is that the film doesn't take itself so seriously and the movie ends up being mildly enjoyable. On the other hand, it becomes silly and cheesy with laughable acting and events. Also, the movie is actually kind of dull. There are some fun spots (like the bridge scene) but there is really no spark to the film. The blame should go to Tim Story and his lack of imagination. He keeps the film bland and dull but he shouldn't get all the blame. He is working with a cheesy and weak script courtesy of Michael France and Mark Frost. If the writing had been a little better and the direction a little sharper then the film could have been better but it stands as a mediocre one. <br/><br/>The acting is a mix bag with some good performances and a couple of bad ones. Chris Evans gives the best performance as Johnny Storm. He seems to be having a blast and his performance is contagious. It's also nice to see something different. Usually in super hero movies, the superheroes are moody and they just want a normal life, which isn't a bad thing. However Johnny Storm actually wants to show off and he considers his new powers to be a blessing and not a curse. On the opposite side of Johnny Storm, you have Ben Grimm played by Michael Chiklis. He is the exact opposite and he wants to give rid of his powers. His situation is pretty sad since his fiancé leaves him and it's hard for him to really live a normal life. Chiklis gives a good performance and it was a little heartwarming. Jessica Alba gives a bad performance as Sue Storm. She is unconvincing as a scientist and her emotions feel fake. Ioan Gruffudd is actually somehow worse and he can't really act. His chemistry with Jessica Alba is almost non existent. The only other person worth mentioning is Julian McMahon and he plays Dr. Victor Von Doom. I think he makes a good bad guy and he gives a decent performance. <br/><br/>Despite the lack of quality in the film, Fantastic Four is pretty harmless. There is nothing here that should really offend anyone and it works better with kids than with adults or teenagers. The film has some things going for it though. The special effects are at least above average and the movie provides decent eye candy. As previously noted, there are some performances that stood out so the whole experience isn't a complete waste of time. However, The Fantastic Four is still a disappointment. In the end, the movie is worth a rental at the most, in my opinion. Rating 5/10"
"jaemiewaters","10","16","22","22 January 2012"," great
","it is a great movie you will like this movie a lot this is a must see movie if you like marvel movies than you will like this movie a lot i never saw a movie this good before it is one of the best PG13 movies i have ever seen you will enjoy this wonderful movie you will say now that is what i call a great movie you just have to go see this masterpiece of a movie it is amazing i like this movie so much this is a 4 out of 4 star movie and a two thumbs up movie it is out of site it hits a home run it is a knockout this is the number 1 marvel movie i have ever seen it is a sweet movie you just have to see this that you will like a lot it is the best PG13 movie i have ever seen i never saw a PG13 movie i like this movie a lot and so will you Fantastic Four is one of the best marvels and one of the best PG13 this is the best movie i have ever seen now go see this wonderful movie this is a movie that you will like a lot it is one of the best PG13 movies i think ever made you just have to go see this movie"
"write_to_ellen","10","270","480","18 July 2005"," Truly enjoyable.
","This film was well put together, fun, and didn't take itself at all seriously. I am not sure where the negative hype comes from, but I find when a good film gets bad reviews, that means most people just didn't get it. In this case, perhaps from the last few comic book films that attempted to ""mean something,"" I think people forgot how to enjoy themselves. Laden with kitsch and tongue-in-cheek humor, this movie embraces that it comes from a comic book and allows itself to be big and a little silly. Yes, Jessica Alba wears an impossibly tight jumpsuit. Yes, the Human Torch is so slick and charming that, if you met him in real life, he'd get a solid smack for his arrogance. But this isn't real life, people, in case you forgot-this is the Marvel Universe, where clothes are tight and the dialog...isn't. Who cares? This movie is so fun that you wish these people did exist and would take some media focus off the jerks that are in the public eye."
"RogerBorg","2","114","196","5 October 2006"," The title is half right
","In that there are Four of them. But Fantastic? More like ""Mediocre"", or ""Barely Adequate"", or ""Contractually Sufficient"".<br/><br/>For once, the reviewers were right. This film is a big, rambling, poorly conceived, sloppily scripted, shoddily acted pile of orange rubble. Avoid it, or suffer the consequences.<br/><br/>It's hard to know where to begin, there's so much wrong with it. For a start, the acting ""talent"" is AWOL. TV performers don't inevitably get lost on the big screen, but this cadre evited it. Alba turns in the exact same performance that she always does, going through her entire range, from ""pouty and petulant"" to ""petulant and pouty"". Evans is either a strutting superannuated fratboy poseur, or for some reason is deliberately playing one so well that it's hard to tell the difference - either way, his character is thoroughly irritating and utterly unsympathetic. Chiklis is adequate, but is let down by the plain fact that he's a round little man in a big rubber muscle suit. This was a role for Ron Perlman, not Wimpy. Gruffudd is a huge disappointment; he has no screen presence, and his slightly out-of-his-depth portrayal of Hornblower is apparently the man, not the character. It would have been better if he had been invisible, as he manages to fade into the background with ease in every scene. McMahon is the only actor who appears to be enjoying himself, but as he's barely in the film, he can't rescue it.<br/><br/>The script was apparently in development for ten years. I can't see why, as it's one scene, repeated ten times. If this is the refined version, I shudder to imagine what the raw cut would have been like. I find it hard to believe that the lines were written by, or for, adults. There's no real plot to the film, or even a story beyond ""Nasty self absorbed un-credible astronauts become nasty self absorbed un-credible 'super' heroes, then argue with each other for a while, take their clothes off for no reason, then beat up some poor disfigured guy apparently because he didn't join their little gang, roll credits."" Direction and cinematography was Filmschool #101, the score was instantly forgettable, and the editing was appalling, with the pacing in particular being random and rushed.<br/><br/>The effects were only what we've come to expect from a hundred million dollar movie, which brings me to the big question: what on earth did they spend all that money on? It wasn't on the ""talent"", either on-screen or off, it certainly wasn't on the rubber suit, and the effects couldn't have cost that much - or if they did, they were seriously over-charged.<br/><br/>I have an idea where at least some of the budget went. From IMDb's Trivia section: ""Contains over 25 cameos from real life employees of Fox television affiliates."" And I strongly suspect that the IMDb records for this movie contain about 2,5000 comments and ratings and mutual approvals from about five of those real life employees. Reading the top recommended comments, most of which have 10 ratings, reveals a depressing pattern of almost identically styled raves from the likes of ""top10dude"" and ""BigTenPower"" with embarrassingly obvious track records of enthusing about, you guessed it, other shoddy Fox movies. When someone rates Elektra a 10, you have to just snort in disbelief at the audacity of it.<br/><br/>I guess it's a pretty good investment for Fox, but this kind of astroturfing drastically reduces the usefulness of IMDb as an early review source. With time, this awful, foul mess of a movie will no doubt settle to its rightful place near the bottom of the ratings pile, but it's likely that the shill reviews will stay stubbornly at the top of the recommended pile for a long time to come. Beware; consider the source.<br/><br/>[2013 update] To this day, the top 'recommended' comment is an early 10 rating from a member who signed up to IMDb just to rave about this one film using the minimum allowed size of review, and then never contributed again. What dedication!"
